Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Publication.Date,Total.Onboard,Fatal.Serious.Count,Fatal.Serious.Rate,Aircraft.Damage,Make_Model,Make.Model
Accident,LAX93WA090,1992-12-29,"LORETO, MEXICO",Mexico,,,,,Non-Fatal,Substantial,Airplane,N4506X,piper,pa-34-200,No,0.0,Unknown,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Foreign,05-08-1996,2.0,0.0,0.0,0,piper-pa-34-200,piper-pa-34-200
Accident,ANC93FA054,1993-04-23,"KASHWITNA, AK",United States,,,,,Fatal(2),Destroyed,Airplane,N3741Z,piper,pa-18-150,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,2.0,0.0,0.0,0.0,VMC,Probable Cause,17-08-2012,2.0,2.0,1.0,1,piper-pa-18-150,piper-pa-18-150
Accident,NYC93FA154,1993-08-14,"EAST MORICHES, NY",United States,,,1N2,SPADARO,Fatal(1),Destroyed,Airplane,N5010D,cessna,182a,No,1.0,Reciprocating,Part 91: General Aviation,,Skydiving,,1.0,4.0,0.0,0.0,VMC,Probable Cause,17-10-2016,5.0,5.0,1.0,1,cessna-182a,cessna-182a
Accident,LAX93LA329,1993-08-18,PACIFIC OCEAN,PACIFIC OCEAN,,,,,Non-Fatal,Destroyed,Airplane,N1232H,piper,pa-34-220,No,1.0,Reciprocating,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,1.0,VMC,Probable Cause,23-03-2016,1.0,0.0,0.0,1,piper-pa-34-220,piper-pa-34-220
Accident,FTW93LA257,1993-09-04,"FENTRESS, TX",United States,,,,,Fatal(1),Minor,Airplane,N125MB,beech,c-45h,No,2.0,Reciprocating,Part 91: General Aviation,,Skydiving,,1.0,0.0,0.0,10.0,VMC,Probable Cause,17-10-2016,11.0,1.0,0.09090909090909091,0,beech-c-45h,beech-c-45h
Accident,BFO93LA184,1993-09-25,"EMPORIA, VA",United States,,,,,Non-Fatal,Substantial,Airplane,N9841L,cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Aerial Observation,,0.0,0.0,0.0,2.0,VMC,Probable Cause,28-12-2010,2.0,0.0,0.0,0,cessna-172,cessna-172
Accident,LAX94WA053,1993-11-13,"MULEGE, MEXICO",Mexico,,,,,Non-Fatal,Substantial,Airplane,N6879J,piper,pa-32r-300,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,3.0,1.0,VMC,Foreign,05-05-1994,5.0,1.0,0.2,0,piper-pa-32r-300,piper-pa-32r-300
Accident,BFO94FA021,1993-11-28,"BUTLER, PA",United States,,,BTP,BUTLER COUNTY,Fatal(1),Destroyed,Airplane,N707JS,piper,pa32r-301,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,Probable Cause,01-02-2016,1.0,1.0,1.0,1,piper-pa32r-301,piper-pa32r-301
Accident,ANC94LA026,1993-12-12,"PORT LIONS, AK",United States,,,ORI,PORT LIONS,Non-Fatal,Substantial,Airplane,N43527,piper,pa-32,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Peninsula Airways (dba: Penair),0.0,0.0,0.0,5.0,VMC,Probable Cause,19-03-2009,5.0,0.0,0.0,0,piper-pa-32,piper-pa-32
Accident,FTW94FA060B,1994-01-02,"PEARLAND, TX",United States,,,T02,CLOVER FIELD,Fatal(5),Destroyed,Airplane,N739TL,cessna,172n,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,5.0,0.0,0.0,0.0,VMC,Probable Cause,12-04-2016,5.0,5.0,1.0,1,cessna-172n,cessna-172n
